Tweet;Tradução;Sentimento;Favoritos;Retweets;Data;Location;
Hoje tem  bebê! Lá em nosso canal do youtube já tem vídeo fresquinho: http: ;Today is no baby! There on our youtube channel already has the video chilled: http:;2;9;3;27/10/2016;;
Nigeriano do  revela que adiou planos para entrar no reality http: ;Nigerian reveals that it has postponed plans to enter the reality http:;2;4;1;27/10/2016;;
Uhul, hoje é dia de !!! A formação dos times continuam e to muito ansiosa para conhecer todo o ó. ;Uhul, today is the day !!! The formation of teams continue and to very anxious to know the whole o.;2;0;6;27/10/2016;;
So os afrontes de hoje do  ja valeu o programa todo APRENDE  o Brasil gosta e disso ;So the afrontes today's already worth the whole program LEARNS the Brazil like and also;1;8;0;27/10/2016;;
Bom vamos dormir que amanhã tem  esse sim vale a pena ;Well, let's sleep, tomorrow has this but it is worth;2;2;1;27/10/2016;;
Não sei o que tá mais armado: meu cabelo ou o   plmdds;Don't know what's more armed: my hair or the plmdds;2;22;6;27/10/2016;;
Lindo e fofo demais!   ó ;Gorgeous and cute too! o;3;0;0;26/10/2016;;
Assistindo a apresentação do  no  ! Poeta, você é simplesmente incrível!;Watching the presentation on ! Poet, you are simply amazing!;2;0;0;26/10/2016;;
Ainda continuo preferindo  do que  pqee os piores do  são melhores do que os melhores do  sorry.;I'm still preferring that pqee the worse are the best of the best of the sorry.;1;1;0;26/10/2016;;
A diferença de nível dos cantores do  pro  é gritante!  fica bem aquém...;The difference of level of the singers of the pro is obvious! is well below...;1;2;0;26/10/2016;;
Atual edição do  bomba na audiência e já supera a edição passada!;The current edition of the pump at the hearing and has surpassed the last edition!;3;1;0;26/10/2016;;
Tomara que os gringos estejam assistindo o , pq  tá acabando com a coisa Toda em Véspera de RIR, ícil;Hopefully the gringos are watching , cuz you're finishing off with the Whole thing in Eve LAUGH, difficult;1;1;0;26/10/2016;;
Feito pelo meu ãClube no Instagram. Isso me inspira!!   . ;Made by my ãClube on Instagram. This inspires me!! .;2;2;1;26/10/2016;;
Impressão minha ou a produção do  está ficando melhor e maior que a do ?;My impression or the production is getting better and greater than that of the ?;3;2;0;26/10/2016;Guaratinguetá, Brasil;
O menino do Grammy. Gosto dele e ainda vai cantar um hino. ;The boy's Grammy. I like him and will even sing a hymn.;2;0;0;26/10/2016;;
> GOIÂNIA - (17/10 à 23/10)  17,5  24,3 ção 21,4  18,1 http: ;> GOIÂNIA - (17/10 to 23/10) 17,5 24,3 tion 21,4 18,1 http:;2;2;0;26/10/2016;;
Amanha é o musical do   ó;Tomorrow is the music of the o;2;0;0;26/10/2016;;
Só uma palinha  ;Only a makes you think;2;3;0;26/10/2016;;
Gente, dizem que passou uma chamada na InterTV do RN dando que o  vai ser em rede amanhã no Fuso -1. Acho que foi erro.;People, say they went on a call on the InterTV of the RN giving that will be on the network tomorrow in Zone -1. I think that it was an error.;2;0;0;26/10/2016;;
Nesta quinta, penúltima noite de audições às cegas!  http: ;On Thursday, the penultimate night of auditions blindly! http:;2;0;0;26/10/2016;;
E aí, qual música cês querem ver o Rafael cantando no ? não esqueçam de dar a opinião: http ;And then, what music anish want to see the Rafael singing in ? do not forget to give feedback: http;1;2;1;26/10/2016;;
qnd a pessoa me responde rápido  ;hi, the person I respond fast;2;1;1;26/10/2016;;
  UM LUGAR NOS ESPERA... ;A PLACE AWAITS US...;2;1;1;26/10/2016;Rio de Janeiro, Brazil;
Vem Quinta-feira ;Comes Thursday;2;0;0;26/10/2016;;
Além de   vc tbem poderá arrumar uma boquinha na  via : ;In addition to vc tbem may get a bite on the way :;1;0;1;26/10/2016;;
Podia ter apresentação do Renato Vianna no êmioMultishow ;Could have presentation Renato Vianna in êmioMultishow;2;7;0;25/10/2016;;
Eu acho que se a Globo colocasse  às quintas depois de  pra ter uma média razoável de 14-15 pontos;I think that if the Globe put on Thursdays after to have a reasonable average of 14-15 points;2;1;1;25/10/2016;;
Oh darling, it's so sweet, you think you know how crazy, how crazy I am...   ó ó ;Oh darling, it's so sweet, you think you know how crazy, how crazy I am... o o;3;14;1;25/10/2016;;
Quinta penúltima noite das audições as cegas ;Thursday-the penultimate night of the auditions the blind;2;0;0;25/10/2016;;
   http:  Plus-Size Women Tried On Halloween Costumes And It Did Not Work O...http: ;http: Plus-Size Women Tried On Halloween Costumes And It Did Not Work. http:;2;0;0;25/10/2016;;
   http:  Get A Great Book Recommendation Every Week With The BuzzFeed Book...http: ;http: Get The Great Book Recommendation Every Week With The BuzzFeed Book...http:;2;0;0;25/10/2016;;
   http:  23 Times Ciara Gave You Complete And Utter Style Goalshttp: ;http: 23 Times Ciara Gave You Complete And Utter Style Goalshttp:;2;0;0;25/10/2016;;
